"CATRA Test ID","Stroke","Cut Depth (forward + back)","Blade ID"
138,18,2,"SNF-GSAN-7-01"
139,19,2,"SNF-GSAN-7-01"
140,20,2,"SNF-GSAN-7-01"
141,21,2,"SNF-GSAN-7-01"
142,22,2,"SNF-GSAN-7-01"
143,23,2,"SNF-GSAN-7-01"
144,24,2,"SNF-GSAN-7-01"
145,25,2,"SNF-GSAN-7-01"
146,26,2,"SNF-GSAN-7-01"
147,27,2,"SNF-GSAN-7-01"
148,28,2,"SNF-GSAN-7-01"
149,29,2,"SNF-GSAN-7-01"
150,30,2,"SNF-GSAN-7-01"
151,31,2,"SNF-GSAN-7-01"
152,32,2,"SNF-GSAN-7-01"
153,33,2,"SNF-GSAN-7-01"
154,34,2,"SNF-GSAN-7-01"
155,35,2,"SNF-GSAN-7-01"
156,36,1,"SNF-GSAN-7-01"
157,37,1,"SNF-GSAN-7-01"
158,38,0,"SNF-GSAN-7-01"
159,39,0,"SNF-GSAN-7-01"
160,40,0,"SNF-GSAN-7-01"
161,41,0,"SNF-GSAN-7-01"
162,42,0,"SNF-GSAN-7-01"
163,43,0,"SNF-GSAN-7-01"
164,44,0,"SNF-GSAN-7-01"
165,45,1,"SNF-GSAN-7-01"
166,46,0,"SNF-GSAN-7-01"
167,47,0,"SNF-GSAN-7-01"
168,48,0,"SNF-GSAN-7-01"
169,49,0,"SNF-GSAN-7-01"
170,50,0,"SNF-GSAN-7-01"
171,51,0,"SNF-GSAN-7-01"
172,52,0,"SNF-GSAN-7-01"
173,53,0,"SNF-GSAN-7-01"
174,54,0,"SNF-GSAN-7-01"
175,55,0,"SNF-GSAN-7-01"
176,56,0,"SNF-GSAN-7-01"
177,57,0,"SNF-GSAN-7-01"
178,58,0,"SNF-GSAN-7-01"
179,59,0,"SNF-GSAN-7-01"
180,60,0,"SNF-GSAN-7-01"
181,1,12,"TUR-8-1"
182,2,8,"TUR-8-1"
183,3,6,"TUR-8-1"
184,4,6,"TUR-8-1"
185,5,6,"TUR-8-1"
186,6,7,"TUR-8-1"
187,7,6,"TUR-8-1"
188,8,5,"TUR-8-1"
189,9,4,"TUR-8-1"
190,10,4,"TUR-8-1"
191,11,4,"TUR-8-1"
192,12,4,"TUR-8-1"
193,13,4,"TUR-8-1"
194,14,4,"TUR-8-1"
195,15,4,"TUR-8-1"
196,16,4,"TUR-8-1"
197,17,4,"TUR-8-1"
198,18,3,"TUR-8-1"
199,19,3,"TUR-8-1"
200,20,3,"TUR-8-1"
201,21,3,"TUR-8-1"
202,22,3,"TUR-8-1"
203,23,3,"TUR-8-1"
204,24,3,"TUR-8-1"
205,25,3,"TUR-8-1"
206,26,3,"TUR-8-1"
207,27,3,"TUR-8-1"
208,28,2,"TUR-8-1"
209,29,2,"TUR-8-1"
210,30,2,"TUR-8-1"
211,31,2,"TUR-8-1"
212,32,2,"TUR-8-1"
213,33,2,"TUR-8-1"
214,34,2,"TUR-8-1"
215,35,2,"TUR-8-1"
216,36,2,"TUR-8-1"
217,37,2,"TUR-8-1"
218,38,2,"TUR-8-1"
219,39,2,"TUR-8-1"
220,40,2,"TUR-8-1"
221,41,2,"TUR-8-1"
222,42,2,"TUR-8-1"
223,43,2,"TUR-8-1"
224,44,2,"TUR-8-1"
225,45,2,"TUR-8-1"
226,46,2,"TUR-8-1"
227,47,1,"TUR-8-1"
228,48,1,"TUR-8-1"
229,49,1,"TUR-8-1"
230,50,1,"TUR-8-1"
231,51,1,"TUR-8-1"
232,52,1,"TUR-8-1"
233,53,1,"TUR-8-1"
234,54,1,"TUR-8-1"
235,55,1,"TUR-8-1"
236,56,1,"TUR-8-1"
237,57,1,"TUR-8-1"
238,58,1,"TUR-8-1"
239,59,1,"TUR-8-1"
240,60,1,"TUR-8-1"
241,1,32,"SNF-PC-8-1"
242,2,23,"SNF-PC-8-1"
243,3,18,"SNF-PC-8-1"
244,4,16,"SNF-PC-8-1"
245,5,14,"SNF-PC-8-1"
246,6,11,"SNF-PC-8-1"
247,7,10,"SNF-PC-8-1"
248,8,8,"SNF-PC-8-1"
249,9,6,"SNF-PC-8-1"
250,10,6,"SNF-PC-8-1"
251,11,5,"SNF-PC-8-1"
252,12,4,"SNF-PC-8-1"
253,13,4,"SNF-PC-8-1"
254,14,3,"SNF-PC-8-1"
255,15,4,"SNF-PC-8-1"
256,16,3,"SNF-PC-8-1"
257,17,3,"SNF-PC-8-1"
258,18,3,"SNF-PC-8-1"
259,19,3,"SNF-PC-8-1"
260,20,3,"SNF-PC-8-1"
261,21,2,"SNF-PC-8-1"
262,22,2,"SNF-PC-8-1"
263,23,2,"SNF-PC-8-1"
264,24,2,"SNF-PC-8-1"
265,25,2,"SNF-PC-8-1"
266,26,2,"SNF-PC-8-1"
267,27,2,"SNF-PC-8-1"
268,28,2,"SNF-PC-8-1"
269,29,1,"SNF-PC-8-1"
270,30,1,"SNF-PC-8-1"
271,31,1,"SNF-PC-8-1"
272,32,1,"SNF-PC-8-1"
273,33,1,"SNF-PC-8-1"
274,34,1,"SNF-PC-8-1"
275,35,1,"SNF-PC-8-1"
276,36,1,"SNF-PC-8-1"
277,37,1,"SNF-PC-8-1"
278,38,1,"SNF-PC-8-1"
279,39,1,"SNF-PC-8-1"
280,40,1,"SNF-PC-8-1"
281,41,1,"SNF-PC-8-1"
282,42,1,"SNF-PC-8-1"
283,43,1,"SNF-PC-8-1"
284,44,1,"SNF-PC-8-1"
285,45,1,"SNF-PC-8-1"
286,46,1,"SNF-PC-8-1"
287,47,1,"SNF-PC-8-1"
288,48,1,"SNF-PC-8-1"
289,49,1,"SNF-PC-8-1"
290,50,1,"SNF-PC-8-1"
291,51,0,"SNF-PC-8-1"
292,52,1,"SNF-PC-8-1"
293,53,0,"SNF-PC-8-1"
294,54,0,"SNF-PC-8-1"
295,55,1,"SNF-PC-8-1"
296,56,1,"SNF-PC-8-1"
297,57,1,"SNF-PC-8-1"
298,58,0,"SNF-PC-8-1"
299,59,1,"SNF-PC-8-1"
300,60,0,"SNF-PC-8-1"
301,1,34,"HEN-8-01"
302,2,27,"HEN-8-01"
303,3,22,"HEN-8-01"
304,4,18,"HEN-8-01"
305,5,15,"HEN-8-01"
306,6,15,"HEN-8-01"
307,7,13,"HEN-8-01"
308,8,10,"HEN-8-01"
309,9,9,"HEN-8-01"
310,10,10,"HEN-8-01"
311,11,10,"HEN-8-01"
312,12,8,"HEN-8-01"
313,13,7,"HEN-8-01"
314,14,7,"HEN-8-01"
315,15,6,"HEN-8-01"
316,16,7,"HEN-8-01"
317,17,7,"HEN-8-01"
318,18,5,"HEN-8-01"
319,19,5,"HEN-8-01"
320,20,4,"HEN-8-01"
321,21,3,"HEN-8-01"
322,22,3,"HEN-8-01"
323,23,3,"HEN-8-01"
324,24,4,"HEN-8-01"
325,25,4,"HEN-8-01"
326,26,3,"HEN-8-01"
327,27,3,"HEN-8-01"
328,28,3,"HEN-8-01"
329,29,3,"HEN-8-01"
330,30,3,"HEN-8-01"
331,31,3,"HEN-8-01"
332,32,3,"HEN-8-01"
333,33,3,"HEN-8-01"
334,34,3,"HEN-8-01"
335,35,2,"HEN-8-01"
336,36,1,"HEN-8-01"
337,37,1,"HEN-8-01"
338,38,1,"HEN-8-01"
339,39,1,"HEN-8-01"
340,40,1,"HEN-8-01"
341,41,1,"HEN-8-01"
342,42,1,"HEN-8-01"
343,43,1,"HEN-8-01"
344,44,1,"HEN-8-01"
345,45,2,"HEN-8-01"
346,46,1,"HEN-8-01"
347,47,1,"HEN-8-01"
348,48,1,"HEN-8-01"
349,49,1,"HEN-8-01"
350,50,1,"HEN-8-01"
351,51,1,"HEN-8-01"
352,52,1,"HEN-8-01"
353,53,1,"HEN-8-01"
354,54,1,"HEN-8-01"
355,55,1,"HEN-8-01"
356,56,1,"HEN-8-01"
357,57,1,"HEN-8-01"
358,58,1,"HEN-8-01"
359,59,1,"HEN-8-01"
360,60,1,"HEN-8-01"
361,1,21,"HNB-8-01"
362,2,12,"HNB-8-01"
363,3,13,"HNB-8-01"
364,4,12,"HNB-8-01"
365,5,8,"HNB-8-01"
366,6,7,"HNB-8-01"
367,7,7,"HNB-8-01"
368,8,9,"HNB-8-01"
369,9,8,"HNB-8-01"
370,10,6,"HNB-8-01"
371,11,5,"HNB-8-01"
372,12,5,"HNB-8-01"
373,13,4,"HNB-8-01"
374,14,5,"HNB-8-01"
375,15,5,"HNB-8-01"
376,16,5,"HNB-8-01"
377,17,5,"HNB-8-01"
378,18,4,"HNB-8-01"
379,19,4,"HNB-8-01"
380,20,4,"HNB-8-01"
381,21,4,"HNB-8-01"
382,22,4,"HNB-8-01"
383,23,4,"HNB-8-01"
384,24,3,"HNB-8-01"
385,25,4,"HNB-8-01"
386,26,4,"HNB-8-01"
387,27,4,"HNB-8-01"
388,28,4,"HNB-8-01"
389,29,4,"HNB-8-01"
390,30,3,"HNB-8-01"
391,31,3,"HNB-8-01"
392,32,3,"HNB-8-01"
393,33,3,"HNB-8-01"
394,34,3,"HNB-8-01"
395,35,3,"HNB-8-01"
