"CATRA Test ID","Stroke","Cut Depth (forward + back)","Blade ID"
793,13,8,"MIY-KOH-01"
794,14,7,"MIY-KOH-01"
795,15,7,"MIY-KOH-01"
796,16,7,"MIY-KOH-01"
797,17,7,"MIY-KOH-01"
798,18,6,"MIY-KOH-01"
799,19,5,"MIY-KOH-01"
800,20,4,"MIY-KOH-01"
801,21,5,"MIY-KOH-01"
802,22,4,"MIY-KOH-01"
803,23,4,"MIY-KOH-01"
804,24,4,"MIY-KOH-01"
805,25,4,"MIY-KOH-01"
806,26,4,"MIY-KOH-01"
807,27,4,"MIY-KOH-01"
808,28,4,"MIY-KOH-01"
809,29,3,"MIY-KOH-01"
810,30,3,"MIY-KOH-01"
811,31,3,"MIY-KOH-01"
812,32,3,"MIY-KOH-01"
813,33,3,"MIY-KOH-01"
814,34,3,"MIY-KOH-01"
815,35,3,"MIY-KOH-01"
816,36,3,"MIY-KOH-01"
817,37,3,"MIY-KOH-01"
818,38,3,"MIY-KOH-01"
819,39,3,"MIY-KOH-01"
820,40,2,"MIY-KOH-01"
821,41,2,"MIY-KOH-01"
822,42,2,"MIY-KOH-01"
823,43,2,"MIY-KOH-01"
824,44,2,"MIY-KOH-01"
825,45,2,"MIY-KOH-01"
826,46,2,"MIY-KOH-01"
827,47,2,"MIY-KOH-01"
828,48,2,"MIY-KOH-01"
829,49,2,"MIY-KOH-01"
830,50,2,"MIY-KOH-01"
831,51,2,"MIY-KOH-01"
832,52,2,"MIY-KOH-01"
833,53,2,"MIY-KOH-01"
834,54,2,"MIY-KOH-01"
835,55,2,"MIY-KOH-01"
836,56,2,"MIY-KOH-01"
837,57,2,"MIY-KOH-01"
838,58,2,"MIY-KOH-01"
839,59,2,"MIY-KOH-01"
840,60,2,"MIY-KOH-01"
841,1,57,"MLK-NAK-01"
842,2,35,"MLK-NAK-01"
843,3,30,"MLK-NAK-01"
844,4,26,"MLK-NAK-01"
845,5,25,"MLK-NAK-01"
846,6,23,"MLK-NAK-01"
847,7,21,"MLK-NAK-01"
848,8,20,"MLK-NAK-01"
849,9,19,"MLK-NAK-01"
850,10,17,"MLK-NAK-01"
851,11,17,"MLK-NAK-01"
852,12,15,"MLK-NAK-01"
853,13,13,"MLK-NAK-01"
854,14,13,"MLK-NAK-01"
855,15,12,"MLK-NAK-01"
856,16,11,"MLK-NAK-01"
857,17,9,"MLK-NAK-01"
858,18,9,"MLK-NAK-01"
859,19,9,"MLK-NAK-01"
860,20,8,"MLK-NAK-01"
861,21,7,"MLK-NAK-01"
862,22,7,"MLK-NAK-01"
863,23,5,"MLK-NAK-01"
864,24,5,"MLK-NAK-01"
865,25,4,"MLK-NAK-01"
866,26,5,"MLK-NAK-01"
867,27,5,"MLK-NAK-01"
868,28,3,"MLK-NAK-01"
869,29,3,"MLK-NAK-01"
870,30,3,"MLK-NAK-01"
871,31,3,"MLK-NAK-01"
872,32,3,"MLK-NAK-01"
873,33,3,"MLK-NAK-01"
874,34,3,"MLK-NAK-01"
875,35,3,"MLK-NAK-01"
876,36,2,"MLK-NAK-01"
877,37,1,"MLK-NAK-01"
878,38,1,"MLK-NAK-01"
879,39,1,"MLK-NAK-01"
880,40,1,"MLK-NAK-01"
881,41,1,"MLK-NAK-01"
882,42,1,"MLK-NAK-01"
883,43,1,"MLK-NAK-01"
884,44,1,"MLK-NAK-01"
885,45,1,"MLK-NAK-01"
886,46,1,"MLK-NAK-01"
887,47,1,"MLK-NAK-01"
888,48,1,"MLK-NAK-01"
889,49,1,"MLK-NAK-01"
890,50,1,"MLK-NAK-01"
891,51,1,"MLK-NAK-01"
892,52,1,"MLK-NAK-01"
893,53,1,"MLK-NAK-01"
894,54,1,"MLK-NAK-01"
895,55,1,"MLK-NAK-01"
896,56,1,"MLK-NAK-01"
897,57,1,"MLK-NAK-01"
898,58,1,"MLK-NAK-01"
899,59,1,"MLK-NAK-01"
900,60,1,"MLK-NAK-01"
901,1,63,"MOR-AOG-1"
902,2,44,"MOR-AOG-1"
903,3,40,"MOR-AOG-1"
904,4,35,"MOR-AOG-1"
905,5,33,"MOR-AOG-1"
906,6,31,"MOR-AOG-1"
907,7,27,"MOR-AOG-1"
908,8,25,"MOR-AOG-1"
909,9,24,"MOR-AOG-1"
910,10,20,"MOR-AOG-1"
911,11,21,"MOR-AOG-1"
912,12,18,"MOR-AOG-1"
913,13,18,"MOR-AOG-1"
914,14,16,"MOR-AOG-1"
915,15,11,"MOR-AOG-1"
916,16,14,"MOR-AOG-1"
917,17,13,"MOR-AOG-1"
918,18,12,"MOR-AOG-1"
919,19,8,"MOR-AOG-1"
920,20,11,"MOR-AOG-1"
921,21,10,"MOR-AOG-1"
922,22,9,"MOR-AOG-1"
923,23,8,"MOR-AOG-1"
924,24,6,"MOR-AOG-1"
925,25,8,"MOR-AOG-1"
926,26,7,"MOR-AOG-1"
927,27,7,"MOR-AOG-1"
928,28,5,"MOR-AOG-1"
929,29,5,"MOR-AOG-1"
930,30,5,"MOR-AOG-1"
931,31,4,"MOR-AOG-1"
932,32,3,"MOR-AOG-1"
933,33,5,"MOR-AOG-1"
934,34,5,"MOR-AOG-1"
935,35,5,"MOR-AOG-1"
936,36,5,"MOR-AOG-1"
937,37,3,"MOR-AOG-1"
938,38,3,"MOR-AOG-1"
939,39,3,"MOR-AOG-1"
940,40,3,"MOR-AOG-1"
941,41,3,"MOR-AOG-1"
942,42,3,"MOR-AOG-1"
943,43,3,"MOR-AOG-1"
944,44,2,"MOR-AOG-1"
945,45,2,"MOR-AOG-1"
946,46,3,"MOR-AOG-1"
947,47,3,"MOR-AOG-1"
948,48,3,"MOR-AOG-1"
949,49,3,"MOR-AOG-1"
950,50,3,"MOR-AOG-1"
951,51,3,"MOR-AOG-1"
952,52,3,"MOR-AOG-1"
953,53,3,"MOR-AOG-1"
954,54,3,"MOR-AOG-1"
955,55,2,"MOR-AOG-1"
956,56,3,"MOR-AOG-1"
957,57,2,"MOR-AOG-1"
958,58,2,"MOR-AOG-1"
959,59,2,"MOR-AOG-1"
960,60,2,"MOR-AOG-1"
961,1,25,"MSS-RES-01"
962,2,21,"MSS-RES-01"
963,3,19,"MSS-RES-01"
964,4,17,"MSS-RES-01"
965,5,10,"MSS-RES-01"
966,6,9,"MSS-RES-01"
967,7,8,"MSS-RES-01"
968,8,7,"MSS-RES-01"
969,9,8,"MSS-RES-01"
970,10,8,"MSS-RES-01"
971,11,7,"MSS-RES-01"
972,12,6,"MSS-RES-01"
973,13,5,"MSS-RES-01"
974,14,4,"MSS-RES-01"
975,15,5,"MSS-RES-01"
976,16,4,"MSS-RES-01"
977,17,4,"MSS-RES-01"
978,18,4,"MSS-RES-01"
979,19,4,"MSS-RES-01"
980,20,4,"MSS-RES-01"
981,21,3,"MSS-RES-01"
982,22,4,"MSS-RES-01"
983,23,3,"MSS-RES-01"
984,24,3,"MSS-RES-01"
985,25,3,"MSS-RES-01"
986,26,3,"MSS-RES-01"
987,27,3,"MSS-RES-01"
988,28,3,"MSS-RES-01"
989,29,2,"MSS-RES-01"
990,30,2,"MSS-RES-01"
991,31,2,"MSS-RES-01"
992,32,2,"MSS-RES-01"
993,33,2,"MSS-RES-01"
994,34,2,"MSS-RES-01"
995,35,2,"MSS-RES-01"
996,36,2,"MSS-RES-01"
997,37,2,"MSS-RES-01"
998,38,2,"MSS-RES-01"
999,39,2,"MSS-RES-01"
1000,40,1,"MSS-RES-01"
